mrid,name,type,feeder,substation,phases,voltage,state,normal_state,is_tie,kva,primary_voltage,secondary_voltage,kw,kvar,length,conductor,ampacity,from_node,to_node,construction,control,customer_count,install_year,link_rating,mounting
BKR-1201,Cedar Hill 1201 Breaker,breaker,FDR-1201,SUB-12,ABC,12.47,CLOSED,CLOSED,false,,,,,,,,,40001,40101,,,,,,
BKR-1202,Cedar Hill 1202 Breaker,breaker,FDR-1202,SUB-12,ABC,12.47,CLOSED,CLOSED,false,,,,,,,,,50001,50101,,,,,,
CAP-1201-01,Mainline cap bank,capacitor,FDR-1201,SUB-12,ABC,12.47,CLOSED,CLOSED,,,,,,300,,,,40111,,,VAR,,,,
FU-1201-01,Maple Ave tap,fuse,FDR-1201,SUB-12,A,12.47,CLOSED,CLOSED,false,,,,,,,,,40103,40104,,,,,40T,
FU-1201-02,Cedar Hill Plaza riser,fuse,FDR-1201,SUB-12,ABC,12.47,CLOSED,CLOSED,false,,,,,,,,,40113,40114,,,,,100E,
FU-1201-03,Birchwood Ct tap,fuse,FDR-1201,SUB-12,B,12.47,CLOSED,CLOSED,false,,,,,,,,,40122,40123,,,,,40T,
FU-1201-04,Quarry Ln tap,fuse,FDR-1201,SUB-12,C,12.47,OPEN,CLOSED,false,,,,,,,,,40122,40128,,,,,25T,
FU-1201-05,Oak St tap,fuse,FDR-1201,SUB-12,C,12.47,CLOSED,CLOSED,false,,,,,,,,,40135,40136,,,,,40T,
FU-1201-06,Cedar Hill Elementary riser,fuse,FDR-1201,SUB-12,ABC,12.47,CLOSED,CLOSED,false,,,,,,,,,40141,40142,,,,,65E,
FU-1202-01,Hillcrest Rd tap,fuse,FDR-1202,SUB-12,A,12.47,CLOSED,CLOSED,false,,,,,,,,,50103,50104,,,,,40T,
FU-1202-02,Hillcrest Medical riser,fuse,FDR-1202,SUB-12,ABC,12.47,CLOSED,CLOSED,false,,,,,,,,,50110,50111,,,,,65E,
OH-1201-01,OH-1201-01,line,FDR-1201,SUB-12,ABC,12.47,,,,,,,,,1850,477 ACSR Hawk,659,40102,40103,OH,,,,,
OH-1201-02,OH-1201-02,line,FDR-1201,SUB-12,ABC,12.47,,,,,,,,,2200,477 ACSR Hawk,659,40103,40111,OH,,,,,
OH-1201-03,OH-1201-03,line,FDR-1201,SUB-12,ABC,12.47,,,,,,,,,1600,336.4 ACSR Linnet,529,40112,40113,OH,,,,,
OH-1201-04,OH-1201-04,line,FDR-1201,SUB-12,ABC,12.47,,,,,,,,,2400,336.4 ACSR Linnet,529,40119,40120,OH,,,,,
OH-1201-05,OH-1201-05,line,FDR-1201,SUB-12,ABC,12.47,,,,,,,,,1750,336.4 ACSR Linnet,529,40120,40135,OH,,,,,
OH-1201-06,OH-1201-06,line,FDR-1201,SUB-12,ABC,12.47,,,,,,,,,1300,336.4 ACSR Linnet,529,40135,40141,OH,,,,,
OH-1201-07,OH-1201-07,line,FDR-1201,SUB-12,ABC,12.47,,,,,,,,,950,336.4 ACSR Linnet,529,40141,40145,OH,,,,,
OH-1201-11,OH-1201-11,line,FDR-1201,SUB-12,A,12.47,,,,,,,,,780,#2 ACSR Sparrow,184,40104,40105,OH,,,,,
OH-1201-12,OH-1201-12,line,FDR-1201,SUB-12,A,12.47,,,,,,,,,640,#2 ACSR Sparrow,184,40105,40107,OH,,,,,
OH-1201-13,OH-1201-13,line,FDR-1201,SUB-12,A,12.47,,,,,,,,,520,#2 ACSR Sparrow,184,40107,40109,OH,,,,,
