FACILITY_ID,CIRCUIT_NO,STATION_NO,PHASING,OP_VOLTS,FROM_NODE,TO_NODE,LENGTH_FT,WIRE_SIZE,RATED_AMPS,CONSTRUCTION
UG-1201-01,1201,12,ABC,12470,40101,40102,650,1000 AL XLP,575,UG
OH-1201-01,1201,12,ABC,12470,40102,40103,1850,477 ACSR Hawk,659,OH
OH-1201-11,1201,12,A,12470,40104,40105,780,#2 ACSR Sparrow,184,OH
OH-1201-12,1201,12,A,12470,40105,40107,640,#2 ACSR Sparrow,184,OH
OH-1201-13,1201,12,A,12470,40107,40109,520,#2 ACSR Sparrow,184,OH
OH-1201-02,1201,12,ABC,12470,40103,40111,2200,477 ACSR Hawk,659,OH
OH-1201-03,1201,12,ABC,12470,40112,40113,1600,336.4 ACSR Linnet,529,OH
UG-1201-02,1201,12,ABC,12470,40114,40115,420,1/0 AL XLP,175,UG
UG-1201-03,1201,12,ABC,12470,40115,40117,260,1/0 AL XLP,175,UG
OH-1201-04,1201,12,ABC,12470,40119,40120,2400,336.4 ACSR Linnet,529,OH
OH-1201-21,1201,12,ABC,12470,40121,40122,1900,1/0 ACSR Raven,242,OH
OH-1201-22,1201,12,B,12470,40123,40124,560,#2 ACSR Sparrow,184,OH
OH-1201-23,1201,12,B,12470,40124,40126,480,#2 ACSR Sparrow,184,OH
OH-1201-24,1201,12,C,12470,40128,40129,700,#2 ACSR Sparrow,184,OH
OH-1201-25,1201,12,C,12470,40129,40131,390,#2 ACSR Sparrow,184,OH
OH-1201-26,1201,12,ABC,12470,40122,40133,1100,1/0 ACSR Raven,242,OH
OH-1201-05,1201,12,ABC,12470,40120,40135,1750,336.4 ACSR Linnet,529,OH
OH-1201-31,1201,12,C,12470,40136,40137,620,#2 ACSR Sparrow,184,OH
OH-1201-32,1201,12,C,12470,40137,40139,540,#2 ACSR Sparrow,184,OH
OH-1201-06,1201,12,ABC,12470,40135,40141,1300,336.4 ACSR Linnet,529,OH
UG-1201-04,1201,12,ABC,12470,40142,40143,310,1/0 AL XLP,175,UG
OH-1201-07,1201,12,ABC,12470,40141,40145,950,336.4 ACSR Linnet,529,OH
UG-1202-01,1202,12,ABC,12470,50101,50102,540,1000 AL XLP,575,UG
OH-1202-01,1202,12,ABC,12470,50102,50103,2600,477 ACSR Hawk,659,OH
OH-1202-11,1202,12,A,12470,50104,50105,900,#2 ACSR Sparrow,184,OH
OH-1202-12,1202,12,A,12470,50105,50107,450,#2 ACSR Sparrow,184,OH
OH-1202-02,1202,12,ABC,12470,50109,50110,2100,336.4 ACSR Linnet,529,OH
UG-1202-02,1202,12,ABC,12470,50111,50112,280,1/0 AL XLP,175,UG
OH-1202-03,1202,12,ABC,12470,50110,50114,1500,336.4 ACSR Linnet,529,OH
