FACILITY_ID,CIRCUIT_NO,STATION_NO,PHASING,DESCRIPTION,SERVICE_VOLTS,NODE,DEMAND_KW,DEMAND_KVAR,CUSTOMER_COUNT
SP-40117,1201,12,A,Maple Ave 100-114,240,40106,27,7,6
SP-40121,1201,12,A,Maple Ave 116-128,240,40108,19,5,5
SP-40126,1201,12,A,Maple Ave 130-136,240,40110,11,3,3
SP-40210,1201,12,ABC,Cedar Hill Plaza - Grocery,480,40116,395,130,1
SP-40214,1201,12,ABC,Cedar Hill Plaza - Retail,208,40118,150,48,8
SP-40318,1201,12,B,Birchwood Ct 2-12,240,40125,26,7,6
SP-40322,1201,12,B,Birchwood Ct 14-24,240,40127,25,7,6
SP-40331,1201,12,C,Quarry Ln 3-9,240,40130,12,3,4
SP-40335,1201,12,C,Quarry Ln 11-19,240,40132,17,5,5
SP-40340,1201,12,ABC,Ridge Rd Farm Supply,208,40134,42,14,1
SP-40412,1201,12,C,Oak St 201-211,240,40138,18,5,5
SP-40416,1201,12,C,Oak St 213-219,240,40140,10,3,3
SP-40512,1201,12,ABC,Cedar Hill Elementary,480,40144,210,70,1
SP-50117,1202,12,A,Hillcrest Rd 5-17,240,50106,30,8,7
SP-50120,1202,12,A,Hillcrest Rd 19-23,240,50108,12,3,3
SP-50214,1202,12,ABC,Hillcrest Medical Offices,208,50113,88,26,4
