FACILITY_ID,CIRCUIT_NO,STATION_NO,PHASING,DESCRIPTION,OP_VOLTS,FROM_NODE,TO_NODE,KVA_RATING,HIGH_SIDE_VOLTS,LOW_SIDE_VOLTS,MOUNTING,INSTALL_YEAR
TX-40117,1201,12,A,Pole 40117,12470,40105,40106,50,7200,240,POLE,1994
TX-40121,1201,12,A,Pole 40121,12470,40107,40108,37.5,7200,240,POLE,2003
TX-40126,1201,12,A,Pole 40126,12470,40109,40110,25,7200,240,POLE,1988
TX-40210,1201,12,ABC,Pad 40210,12470,40115,40116,750,12470,480,PAD,2006
TX-40214,1201,12,ABC,Pad 40214,12470,40117,40118,300,12470,208,PAD,2006
TX-40318,1201,12,B,Pole 40318,12470,40124,40125,50,7200,240,POLE,2015
TX-40322,1201,12,B,Pole 40322,12470,40126,40127,50,7200,240,POLE,2015
TX-40331,1201,12,C,Pole 40331,12470,40129,40130,25,7200,240,POLE,1976
TX-40335,1201,12,C,Pole 40335,12470,40131,40132,37.5,7200,240,POLE,1991
TX-40340,1201,12,ABC,Pole 40340,12470,40133,40134,75,12470,208,POLE,1999
TX-40412,1201,12,C,Pole 40412,12470,40137,40138,37.5,7200,240,POLE,1987
TX-40416,1201,12,C,Pole 40416,12470,40139,40140,25,7200,240,POLE,1979
TX-40512,1201,12,ABC,Pad 40512,12470,40143,40144,500,12470,480,PAD,2012
TX-50117,1202,12,A,Pole 50117,12470,50105,50106,50,7200,240,POLE,2001
TX-50120,1202,12,A,Pole 50120,12470,50107,50108,25,7200,240,POLE,1983
TX-50214,1202,12,ABC,Pad 50214,12470,50112,50113,150,12470,208,PAD,2019
