mrid,name,type,feeder,substation,phases,voltage,state,normal_state,is_tie,kva,primary_voltage,secondary_voltage,kw,kvar,customer_count,length,conductor,ampacity,from_node,to_node
BKR-701,Millbrook North Breaker,breaker,FDR-701,SUB-7,ABC,12.47,CLOSED,CLOSED,false,,,,,,,,,,7000,7001
UG-701-01,UG-701-01,line,FDR-701,SUB-7,ABC,12.47,,,,,,,,,,700,1000 AL XLP,575,7001,7002
OH-701-01,OH-701-01,line,FDR-701,SUB-7,ABC,12.47,,,,,,,,,,2400,477 ACSR Hawk,659,7002,7003
FU-701-01,Church St tap,fuse,FDR-701,SUB-7,A,12.47,CLOSED,CLOSED,false,,,,,,,,,,7003,7010
OH-701-11,OH-701-11,line,FDR-701,SUB-7,A,12.47,,,,,,,,,,650,#2 ACSR Sparrow,184,7010,7011
TX-7011,Pole 7011,transformer,FDR-701,SUB-7,A,12.47,,,,50,7.2,0.24,,,,,,,7011,7012
SP-7012,Church St 1-15,load,FDR-701,SUB-7,A,0.24,,,,,,,34,9,8,,,,7012,
REC-701-01,Mill Pond Recloser,recloser,FDR-701,SUB-7,ABC,12.47,OPEN,CLOSED,false,,,,,,,,,,7003,7004
OH-701-02,OH-701-02,line,FDR-701,SUB-7,ABC,12.47,,,,,,,,,,1900,336.4 ACSR Linnet,529,7004,7005
FU-701-02,Mill Pond Rd tap,fuse,FDR-701,SUB-7,B,12.47,CLOSED,CLOSED,false,,,,,,,,,,7005,7020
OH-701-21,OH-701-21,line,FDR-701,SUB-7,B,12.47,,,,,,,,,,800,#2 ACSR Sparrow,184,7020,7021
TX-7021,Pole 7021,transformer,FDR-701,SUB-7,B,12.47,,,,37.5,7.2,0.24,,,,,,,7021,7022
SP-7022,Mill Pond Rd 2-20,load,FDR-701,SUB-7,B,0.24,,,,,,,22,6,6,,,,7022,
OH-701-22,OH-701-22,line,FDR-701,SUB-7,B,12.47,,,,,,,,,,500,#2 ACSR Sparrow,184,7021,7023
TX-7023,Pole 7023,transformer,FDR-701,SUB-7,B,12.47,,,,25,7.2,0.24,,,,,,,7023,7024
SP-7024,Mill Pond Rd 22-30,load,FDR-701,SUB-7,B,0.24,,,,,,,14,4,4,,,,7024,
SW-701-02,Pine St Switch,switch,FDR-701,SUB-7,ABC,12.47,OPEN,CLOSED,false,,,,,,,,,,7005,7006
OH-701-03,OH-701-03,line,FDR-701,SUB-7,ABC,12.47,,,,,,,,,,1500,336.4 ACSR Linnet,529,7006,7007
FU-701-03,Millbrook High riser,fuse,FDR-701,SUB-7,ABC,12.47,CLOSED,CLOSED,false,,,,,,,,,,7007,7030
UG-701-31,UG-701-31,line,FDR-701,SUB-7,ABC,12.47,,,,,,,,,,380,1/0 AL XLP,175,7030,7031
TX-7031,Pad 7031,transformer,FDR-701,SUB-7,ABC,12.47,,,,500,12.47,0.48,,,,,,,7031,7032
